user_id,amount,country,device_type,is_fraud,amount_log,is_foreign,device_score
1051,37.773462683026224,UK,desktop,0,3.657736061159323,1,0
1092,71.76213992322657,BR,mobile,0,4.287195763926981,1,1
1014,282.49805182559135,US,mobile,0,5.647205251276793,0,1
1071,4.896061161024741,BR,desktop,0,1.7742845281413642,1,0
1060,43.42210891811812,US,desktop,0,3.7937372941091763,0,0
1020,194.19220329561003,DE,desktop,0,5.273984731048139,1,0
1082,50.4271279544665,UK,desktop,0,3.940165814448901,1,0
1086,22.209022825010862,UK,mobile,0,3.144541117935636,1,1
1074,55.302735672140955,UK,mobile,0,4.0307431249445544,1,1
1074,48.70317913667741,CN,desktop,0,3.9060688975895563,1,0
1087,247.00125374083308,DE,desktop,0,5.513433801558788,1,0
1099,143.52089111459304,US,mobile,0,4.973424072289997,0,1
1023,70.3430989613681,UK,mobile,0,4.2675006183112005,1,1
1002,445.4216042922717,DE,desktop,0,6.101263806608096,1,0
1021,62.60074167319419,BR,desktop,0,4.152625131806292,1,0
1052,6.000251061428592,US,mobile,0,1.945946014330517,0,1
1001,30.418323325927005,CN,mobile,0,3.4473912681294805,1,1
1087,57.282600022070454,IN,mobile,0,4.065303592927473,1,1
1029,17.06728165552316,US,desktop,0,2.8941026591717507,0,0
1037,294.81833808536817,BR,mobile,0,5.689745543234637,1,1
1001,145.60685283865175,US,desktop,0,4.987754533507723,0,0
1063,31.236719232151223,US,mobile,0,3.473106151671093,0,1
1059,89.3562323944327,IN,mobile,0,4.503759995228448,1,1
1020,127.81546765266114,UK,mobile,0,4.858380896930941,1,1
1032,283.49566541541907,BR,desktop,0,5.650718017652144,1,0
1075,213.3985158334065,IN,desktop,0,5.367836506753874,1,0
1057,72.40028091621411,US,mobile,0,4.295927762809524,0,1
1021,149.01121553535597,BR,desktop,0,5.010710061536807,1,0
1088,82.58669114197816,CN,mobile,0,4.4258843105512,1,1
1048,80.4534465307152,US,desktop,0,4.400031648833171,0,0
1090,12.187610397398966,CN,mobile,0,2.579277782567992,1,1
1058,13.483241918254759,DE,mobile,0,2.6729922512803177,1,1
1041,75.40307678277604,CN,desktop,0,4.336022967387443,1,0
1091,31.31524322137328,US,mobile,0,3.4755390452646955,0,1
1059,2.126133119727267,IN,desktop,0,1.139796815778209,1,0
1079,128.31574498797454,US,mobile,0,4.862257049346343,0,1
1014,3.3026000623942626,US,desktop,0,1.4592195056359722,0,0
1061,90.45520038896954,DE,mobile,0,4.515849239146472,1,1
1061,77.47777020854885,UK,mobile,0,4.36281540262805,1,1
1046,346.78081469049494,US,desktop,0,5.851572438496739,0,0
1061,66.20616595849093,DE,mobile,0,4.207764998654527,1,1
1050,6.5714077302693426,IN,desktop,1,2.0243790118870844,1,0
1054,80.22657885790044,DE,mobile,0,4.39724251944443,1,1
1063,183.94561063975755,DE,mobile,0,5.220061785311018,1,1
1002,576.0125639712095,CN,mobile,0,6.357864040917845,1,1
1050,56.2721158567536,UK,mobile,0,4.047813871013224,1,1
1006,38.610190454554534,UK,desktop,0,3.6790864198665103,1,0
1020,237.14347277969924,BR,desktop,0,5.472873318849844,1,0
1072,21.225570100556997,IN,desktop,0,3.1012434323896287,1,0
